applicant_id,national_id,full_name,date_of_birth,gender,phone,email,high_school_name,province
1,001306835348,Hồ Phương Vy,2006-10-17,Female,0376045419,vy.hp1710@example.com,THPT Việt Đức,Hà Nội
2,056306243379,Võ Khánh Ngân,2006-04-29,Female,0866681670,,THPT Lý Tự Trọng,Khánh Hòa
3,066306570914,Đặng Minh Phương,2006-09-08,Female,,phuong.dm0809@example.com,THPT Buôn Ma Thuột,Đắk Lắk
4,040306245095,Huỳnh Bảo Chi,2006-08-14,Female,0384517562,chi.hb1408@example.com,THPT Hà Huy Tập,Nghệ An
5,048206948388,Phan Đức Nam,2006-12-24,Male,0881985086,nam.pd2412@example.com,THPT Thái Phiên,Đà Nẵng
6,048206852511,Huỳnh Quốc Tuấn,2006-04-25,Male,0898836359,tuan.hq2504@example.com,THPT Phan Châu Trinh,Đà Nẵng
7,066206440812,Đỗ Minh Nam,2006-10-30,Male,0772977669,nam.dm3010@example.com,THPT Chu Văn An,Đắk Lắk
8,048306736926,Đặng Thu Trang,2006-10-04,Female,0881357603,trang.dt0410@example.com,THPT Thái Phiên,Đà Nẵng
9,048306335879,Lê Thị Hân,2006-05-07,Female,0942535815,han.lt0705@example.com,THPT Chuyên Lê Quý Đôn,Đà Nẵng
10,051306298828,Trần Minh Anh,2006-07-05,Female,0980861072,anh.tm0507@example.com,THPT Trần Quốc Tuấn,
11,040306780109,Nguyễn Phương Chi,2006-06-10,Female,0917408547,,THPT Huỳnh Thúc Kháng,Nghệ An
12,056206114430,Lê Quốc An,2006-05-12,Male,0907639942,an.lq1205@example.com,THPT Lý Tự Trọng,Khánh Hòa
13,046306501673,Nguyễn Khánh Nhi,2006-09-15,Female,0906505430,nhi.nk1509@example.com,THPT Hai Bà Trưng,Huế
14,045306226647,Trần Thị Trang,2006-06-09,Female,0876260181,trang.tt0906@example.com,THPT Lê Lợi,Quảng Trị
15,051306231572,Nguyễn Phương Hân,2006-06-29,Female,0824436287,,THPT Số 1 Tư Nghĩa,Quảng Ngãi
16,048205875635,Đỗ Đức Quân,2005-05-31,Male,0901204335,quan.dd3105@example.com,THPT Chuyên Lê Quý Đôn,Đà Nẵng
17,064306018705,Nguyễn Ngọc Uyên,2006-05-03,Female,0875788215,uyen.nn0305@example.com,THPT Pleiku,Gia Lai
18,040306760079,Nguyễn Bảo Thảo,2006-05-24,Female,0305967296,thao.nb2405@example.com,THPT Huỳnh Thúc Kháng,Nghệ An
19,046306810816,Phạm Minh Linh,2006-01-24,Female,0834381996,linh.pm2401@example.com,THPT Quốc Học,Huế
20,051306409787,Huỳnh Thị Ngân,2006-09-20,Female,0877209025,ngan.ht2009@example.com,THPT Số 1 Tư Nghĩa,Quảng Ngãi
21,051206479558,Nguyễn Quốc Khang,2006-06-26,Male,0874479469,khang.nq2606@example.com,THPT Trần Quốc Tuấn,Quảng Ngãi
22,040306365656,Huỳnh Bảo Hân,2006-11-29,Female,0309621340,,THPT Hà Huy Tập,Nghệ An
23,048205502779,Lê Văn Nhật,2005-09-02,Male,0779329021,nhat.lv0209@example.com,,Đà Nẵng
24,066206969377,Võ Minh Hùng,2006-09-20,Male,0325677712,,THPT Chu Văn An,Đắk Lắk
25,079206985561,Phạm Hữu Nam,2006-02-16,Male,,nam.ph1602@example.com,THPT Lê Quý Đôn,Thành phố Hồ Chí Minh
26,045306893190,Võ Thị Anh,2006-05-26,Female,,anh.vt2605@example.com,THPT Lê Lợi,Quảng Trị
27,048306598212,Huỳnh Bảo Chi,2006-03-14,Female,0934071125,chi.hb1403@example.com,THPT Hoàng Hoa Thám,Đà Nẵng
28,048206727329,Nguyễn Quốc Phúc,2006-03-29,Male,0754521612,phuc.nq2903@example.com,THPT Chuyên Lê Quý Đôn,Đà Nẵng
29,051306843599,Trần Khánh Ngân,2006-01-27,Female,0324683616,ngan.tk2701@example.com,THPT Trần Quốc Tuấn,Quảng Ngãi
30,045206616346,Trần Minh Khoa,2006-02-16,Male,0794256515,khoa.tm1602@example.com,THPT Đông Hà,Quảng Trị
31,001206213210,Đặng Gia An,2006-12-20,Male,0339759512,,THPT Việt Đức,Hà Nội
32,056206887835,Phan Đức Huy,2006-12-28,Male,0721590096,huy.pd2812@example.com,THPT Lý Tự Trọng,Khánh Hòa
33,066306834452,Nguyễn Bảo Hân,2006-11-30,Female,0739610036,han.nb3011@example.com,THPT Chu Văn An,Đắk Lắk
34,046206474576,Nguyễn Gia Nam,2006-09-28,Male,0847945179,nam.ng2809@example.com,THPT Hai Bà Trưng,Huế
35,046306898584,Nguyễn Khánh Vy,2006-03-03,Female,0879844043,,THPT Quốc Học,Huế
36,048206401664,Trần Thành Quân,2006-12-04,Male,0881903909,,THPT Chuyên Lê Quý Đôn,Đà Nẵng
37,040206477116,Huỳnh Gia Quân,2006-08-13,Male,0821113402,quan.hg1308@example.com,THPT Hà Huy Tập,Nghệ An
38,064206691874,Nguyễn Quốc Tuấn,2006-03-06,Male,0305874327,tuan.nq0603@example.com,THPT Pleiku,Gia Lai
39,051306838038,Phạm Ngọc Vy,2006-08-16,Female,0971647078,,THPT Trần Quốc Tuấn,Quảng Ngãi
40,048306462794,Phan Ngọc Linh,2006-01-11,Female,0967505792,linh.pn1101@example.com,THPT Phan Châu Trinh,Đà Nẵng
41,048207769443,Nguyễn Đức Huy,2007-03-19,Male,0305149434,huy.nd1903@example.com,THPT Hoàng Hoa Thám,Đà Nẵng
42,064307136269,Phan Ngọc Vy,2007-06-17,Female,0749621780,,THPT Hùng Vương,Gia Lai
43,051307522258,Võ Ngọc Uyên,2007-05-24,Female,0886855797,uyen.vn2405@example.com,THPT Số 1 Tư Nghĩa,Quảng Ngãi
44,051307135952,Đỗ Khánh Chi,2007-10-01,Female,,chi.dk0110@example.com,THPT Số 1 Tư Nghĩa,Quảng Ngãi
45,048207249906,Bùi Đức Khoa,2007-02-07,Male,0980534936,khoa.bd0702@example.com,THPT Thái Phiên,Đà Nẵng
46,048307591935,Lê Bảo Thảo,2007-04-15,Female,0700279418,thao.lb1504@example.com,THPT Phan Châu Trinh,Đà Nẵng
47,048207227133,Đặng Minh Bảo,2007-07-04,Male,0711579089,bao.dm0407@example.com,THPT Thái Phiên,Đà Nẵng
48,040307261468,Lê Thu Anh,2007-09-18,Female,0894538251,anh.lt1809@example.com,THPT Huỳnh Thúc Kháng,Nghệ An
49,051207109063,Lê Văn An,2007-10-26,Male,0318944205,an.lv2610@example.com,,Quảng Ngãi
50,046206120778,Nguyễn Quốc Nhật,2006-06-20,Male,0771709948,,THPT Quốc Học,Huế
51,046307156875,Lê Thị Vy,2007-12-05,Female,,vy.lt0512@example.com,THPT Hai Bà Trưng,
52,040306850101,Huỳnh Minh Hân,2006-03-10,Female,0988604568,,THPT Huỳnh Thúc Kháng,Nghệ An
53,048307732158,Phạm Bảo Yến,2007-12-22,Female,,yen.pb2212@example.com,THPT Hoàng Hoa Thám,Đà Nẵng
54,079207556269,Trần Quốc Dũng,2007-03-31,Male,0387451266,dung.tq3103@example.com,THPT Nguyễn Thị Minh Khai,Thành phố Hồ Chí Minh
55,046207426637,Đỗ Gia Quân,2007-04-06,Male,0870989285,quan.dg0604@example.com,THPT Hai Bà Trưng,Huế
